Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate, Median , 25th percentile of earnings , 75th percentile of earnings 
5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,143087,102399,66046,8684,8%," $43,000.00 "," $30,000.00 "," $68,000.00 "
5503,CRIMINOLOGY,Social Science,75085,59534,48763,4106,7%," $49,000.00 "," $35,000.00 "," $72,000.00 "
5504,GEOGRAPHY,Social Science,115423,83671,63070,6202,7%," $54,000.00 "," $38,300.00 "," $78,000.00 "
5505,INTERNATIONAL RELATIONS,Social Science,77371,56564,42091,4278,8%," $55,000.00 "," $40,000.00 "," $89,000.00 "
5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science,748956,541630,421761,40376,7%," $58,000.00 "," $38,000.00 "," $90,000.00 "
5507,SOCIOLOGY,Social Science,674558,459174,336515,32344,7%," $47,000.00 "," $33,000.00 "," $70,000.00 "
5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science,15882,12307,9444,708,6%," $52,000.00 "," $40,000.00 "," $80,000.00 "
5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,92346,79055,65916,4257,5%," $65,000.00 "," $45,000.00 "," $95,000.00 "
5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,15726,12607,10453,692,5%," $48,000.00 "," $32,000.00 "," $75,000.00 "
5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,126639,98814,83519,4902,5%," $67,000.00 "," $42,500.00 "," $98,000.00 "
6000,FINE ARTS,Arts,571961,386961,256747,29912,8%," $45,000.00 "," $30,000.00 "," $70,000.00 "
6001,DRAMA AND THEATER ARTS,Arts,174817,135071,81519,11789,9%," $42,000.00 "," $29,000.00 "," $62,000.00 "
6002,MUSIC,Arts,276262,192704,116142,11155,6%," $45,000.00 "," $30,000.00 "," $67,000.00 "
6003,VISUAL AND PERFORMING ARTS,Arts,55141,41098,23479,4297,10%," $40,000.00 "," $27,000.00 "," $59,000.00 "
6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,504657,379980,266671,30330,8%," $46,600.00 "," $32,000.00 "," $70,000.00 "
6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,133508,107651,69303,10080,9%," $47,000.00 "," $30,000.00 "," $70,000.00 "
6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts,90852,61295,38989,4185,7%," $44,500.00 "," $30,000.00 "," $70,000.00 "
6007,STUDIO ARTS,Arts,81008,58799,36943,5372,9%," $37,600.00 "," $24,900.00 "," $58,000.00 "
6099,MISCELLANEOUS FINE ARTS,Arts,8511,6431,3802,1190,19%," $45,000.00 "," $30,000.00 "," $60,000.00 "
6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,104516,78198,53746,4525,6%," $50,000.00 "," $35,000.00 "," $73,000.00 "
6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,74977,49393,26085,2407,5%," $42,000.00 "," $30,000.00 "," $60,000.00 "
6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,108510,85360,67294,5160,6%," $50,000.00 "," $35,000.00 "," $75,000.00 "
6104,MEDICAL ASSISTING SERVICES,Health,64316,51279,25118,1660,3%," $55,000.00 "," $37,000.00 "," $75,000.00 "
6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,164990,121479,92128,4564,4%," $60,000.00 "," $45,000.00 "," $76,000.00 "
6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,32514,19009,13147,1431,8%," $50,000.00 "," $34,000.00 "," $85,000.00 "
6107,NURSING,Health,1769892,1325711,947546,36503,3%," $62,000.00 "," $48,000.00 "," $80,000.00 "
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,180084,124058,89234,4414,4%," $106,000.00 "," $78,000.00 "," $125,000.00 "
6109,TREATMENT THERAPY PROFESSIONS,Health,252138,199174,128115,5378,3%," $61,000.00 "," $40,000.00 "," $80,000.00 "
6110,COMMUNITY AND PUBLIC HEALTH,Health,56741,42543,28912,3032,7%," $47,000.00 "," $32,800.00 "," $70,000.00 "
6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,77647,52610,35676,2978,6%," $45,000.00 "," $32,000.00 "," $62,000.00 "
6200,GENERAL BUSINESS,Business,2148712,1580978,1304646,85626,5%," $60,000.00 "," $40,000.00 "," $95,000.00 "
6201,ACCOUNTING,Business,1779219,1335825,1095027,75379,6%," $65,000.00 "," $42,500.00 "," $100,000.00 "
6202,ACTUARIAL SCIENCE,Business,9763,7846,6880,466,6%," $72,000.00 "," $53,000.00 "," $115,000.00 "
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,3123510,2354398,1939384,147261,6%," $58,000.00 "," $39,500.00 "," $86,000.00 "
6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business,57200,47341,41104,2141,5%," $65,000.00 "," $45,000.00 "," $90,000.00 "
6205,BUSINESS ECONOMICS,Business,75547,57983,48471,3816,7%," $65,000.00 "," $45,000.00 "," $100,000.00 "
6206,MARKETING AND MARKETING RESEARCH,Business,1114624,890125,704912,51839,6%," $56,000.00 "," $38,500.00 "," $90,000.00 "
6207,FINANCE,Business,816548,670681,561073,34166,5%," $65,000.00 "," $45,000.00 "," $100,000.00 "
6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,187274,142879,116466,9241,6%," $54,000.00 "," $38,000.00 "," $80,000.00 "
6210,INTERNATIONAL BUSINESS,Business,86064,66453,51012,5106,8%," $54,000.00 "," $38,600.00 "," $80,000.00 "
6211,HOSPITALITY MANAGEMENT,Business,200854,163393,122499,8862,5%," $49,000.00 "," $33,000.00 "," $70,000.00 "
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,156673,134478,118249,6186,5%," $72,000.00 "," $50,000.00 "," $100,000.00 "
6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,102753,77471,61603,4308,6%," $53,000.00 "," $36,000.00 "," $83,000.00 "
6402,HISTORY,Humanities & Liberal Arts,712509,478416,354163,33725,7%," $50,000.00 "," $35,000.00 "," $80,000.00 "
6403,UNITED STATES HISTORY,Humanities & Liberal Arts,17746,11887,8204,943,8%," $50,000.00 "," $39,000.00 "," $81,000.00 "
